Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,6/30/2016
Purchases of investments,-17408,-17408,-20000,-65260,-32925
Sales/Maturities of investments,35834,35834,31190,23606,-
Net cash used for investing activites,18426,18426,11190,-41654,-32925
Common stock issued,-,-,52111,-,47230
Common stock repurchased,-11,-11,-736,-,-47
Dividends Paid,-16537,-16537,-13783,-12850,-7614
Net cash used privided by (used for) financing activities,-16548,-16548,37592,-12850,39569
Net change in cash,-3981,-3981,37469,-63111,2225
Cash at beginning of period,47265,47265,9796,72907,23340
Cash at end of period,43284,43284,47265,9796,25565
Free Cash Flow,-5859,-5859,-11313,-8607,-4419
