Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-222,-227,-135,-1043,-2279
Other investing activites,-,-,86,326,-
Net cash used for investing activites,-136,-227,-26,-717,-2279
Debt repayment,-,-,-,-,440
Common stock issued,340,340,57,299,-
Other financing activites,-3091,-3091,-,-673,-
Net cash used privided by (used for) financing activities,-2751,-2751,178,-374,440
Net change in cash,20,-922,-827,-1659,2637
Cash at beginning of period,33312,33211,31908,34779,32246
Cash at end of period,33332,32014,33211,31908,34779
Capital Expenditure,-222,-227,-135,-1043,-2279
Free Cash Flow,-560,1829,-1114,-1611,2197
