Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1952,-2606,-4355,-627.99,-
Acquisitions net,-,-,-,-35,-
Net cash used for investing activites,-1952,-2606,-4355,-662.99,-
Debt repayment,-361.094,-184.055,-,-,-
Common stock issued,-,-,1122,3990,-
Common stock repurchased,-,-,-69.547,-184.221,-
Other financing activites,-,-,0.001,-244.608,-
Net cash used privided by (used for) financing activities,1248,1558,1052,3561,-
Net change in cash,182.745,-103.207,-3293,3656,-170.805
Cash at beginning of period,257.356,470.425,3763,107.541,225.206
Cash at end of period,440.101,367.218,470.425,3763,54.401
Capital Expenditure,-1952,-2606,-4355,-627.99,-
Free Cash Flow,-1065,-1661,-4345,129.514,-170.805
