Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Net Income,-36143,-36143,58274,108839,52093
Change in working capital,-3932,-3932,-35,-,-
Other working capital,18034,18034,13650,-,-
Net cash provided by operating activites,18034,18034,13650,-,-
Purchases of investments,-305329,-305329,-340288,-,-
Sales/Maturities of investments,330094,330094,340434,-,-
Other investing activites,-22916,-22916,-4482,-,-
Net cash used for investing activites,1849,1849,-4336,-,-
Net change in cash,29252,29252,2508,-,-
Cash at beginning of period,16891,16891,13765,-,-
Cash at end of period,49088,49088,16891,-,-
Operating Cash Flow,18034,18034,13650,-,-
Free Cash Flow,18034,18034,13650,-,-
