Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-3197,-3297,-489.36
Purchases of investments,-,-,-35
Net cash used for investing activites,-3197,-3297,-524.36
Common stock issued,-,6270,5350
Common stock repurchased,-,-40.68,-345.163
Net cash used privided by (used for) financing activities,-,6229,5005
Net change in cash,2590,1807,4037
Cash at beginning of period,1349,4537,500.208
Cash at end of period,3939,6345,4537
Capital Expenditure,-3197,-3297,-489.36
Free Cash Flow,-5187,-4422,-932.647
