Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-473.205,-984.045,-116.531,-16.552,-61.967
Sales/Maturities of investments,-,-,-,-,1.008
Net cash used for investing activites,-473.205,-984.045,-116.531,-16.552,-60.959
Common stock issued,350,975,888.815,181.749,-
Common stock repurchased,-,-,-,-10.905,-
Other financing activites,-,-58.145,-49.5,-,-
Net cash used privided by (used for) financing activities,330.2,916.855,839.315,170.844,100.996
Net change in cash,-294.138,-305.007,309.956,31.038,-60.746
Cash at beginning of period,418.79,401.891,91.935,60.897,121.643
Cash at end of period,124.652,96.884,401.891,91.935,60.897
Capital Expenditure,-473.205,-984.045,-116.531,-16.552,-61.967
Free Cash Flow,-624.338,-1222,-529.359,-139.806,-162.75
