Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2540,-6227,-13446,-3015,-5.209
Other investing activites,-,132.054,2490,-,-
Net cash used for investing activites,-1924,-5379,-10955,-3015,7.768
Debt repayment,-,-4125,-1979,-,-188.805
Common stock issued,11347,11726,4842,8296,3120
Net cash used privided by (used for) financing activities,7429,11104,12766,9296,2932
Net change in cash,-1596,-354.256,-1059,4739,612.109
Cash at beginning of period,1651,4213,5348,621.747,9.638
Cash at end of period,54.801,3972,4213,5348,621.747
Capital Expenditure,-2540,-6227,-13446,-3015,-5.209
Free Cash Flow,-9641,-12306,-16316,-4556,-2333
