Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3328,-2505,-1414,-549.796,-345.441
Sales/Maturities of investments,-,0.18,-,-,-
Other investing activites,-,372.365,-,-,-
Net cash used for investing activites,-2855,-2133,-1414,-549.796,-345.441
Debt repayment,-,-,-269.781,-105,-
Common stock issued,5383,3327,3821,460,-
Common stock repurchased,-273.305,-181.721,-234.997,-,-
Other financing activites,-,113,-,-,-
Net cash used privided by (used for) financing activities,5223,3258,3686,655,-
Net change in cash,1349,232.918,1608,-338.333,-374.11
Cash at beginning of period,1332,1612,4.516,342.849,716.959
Cash at end of period,2681,1845,1612,4.516,342.849
Capital Expenditure,-3328,-2505,-1414,-549.796,-345.441
Free Cash Flow,-4346,-3398,-2078,-993.333,-374.11
