Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5.358,-18.684,-112.692,-49.872,-999.928
Purchases of investments,-,-,-430,-,225.55
Sales/Maturities of investments,-,-,-,245.52,-
Net cash used for investing activites,-255.358,-18.684,-542.692,196.038,-774.378
Debt repayment,-250,-250,-500,-,-
Common stock issued,-,-,1458,-,-
Net cash used privided by (used for) financing activities,-250,-250,1358,-,400
Net change in cash,-742.909,-484.909,590.387,-51.229,-598.77
Cash at beginning of period,1029,665.629,75.242,126.471,725.241
Cash at end of period,286.441,180.72,665.629,75.242,126.471
Capital Expenditure,-5.358,-18.684,-112.692,-49.872,-999.928
Free Cash Flow,-242.909,-234.909,-337.554,-297.139,-1224
