Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-67.708,-67.351,-150.509,-406.59,-
Acquisitions net,-,-556.03,-692.115,-26.738,-
Purchases of investments,-,-556.03,-,-,-
Other investing activites,-,-49.384,-135.796,-400.132,-283.196
Net cash used for investing activites,-117.092,-672.765,-978.42,-833.46,-255.366
Debt repayment,-,-,-,-1291,-718.333
Common stock issued,-,-,3173,4500,1037
Common stock repurchased,-,-10.68,-214.839,-496.32,-65
Other financing activites,-,-,75,-,-
Net cash used privided by (used for) financing activities,-,-10.68,3533,4686,646.866
Net change in cash,-349.98,-1182,1672,62.213,-13.482
Cash at beginning of period,815.136,1729,57.277,-0.005,13.477
Cash at end of period,465.156,547.364,1729,57.277,-0.005
Capital Expenditure,-67.708,-67.351,-150.509,-406.59,-
Free Cash Flow,-300.596,-565.597,-1034,-4197,-404.982
