Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1494,-1152,-1920,-2599,-1093
Sales/Maturities of investments,-,36.192,-,30,-
Other investing activites,-,56.586,286.381,109.94,39.922
Net cash used for investing activites,-1598,-1073,-1604,-2459,-1053
Common stock issued,4256,2007,2413,2251,2629
Common stock repurchased,-271.346,-86.054,-120.64,-44.454,-123.792
Net cash used privided by (used for) financing activities,3985,1921,2292,2207,3155
Net change in cash,1367,-73.389,96.017,-1054,1500
Cash at beginning of period,635.315,934.045,838.027,1892,391.707
Cash at end of period,2002,860.656,934.045,838.027,1892
Capital Expenditure,-1494,-1152,-1920,-2599,-1093
Free Cash Flow,-2514,-2073,-2513,-3401,-1694
