Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-30.225,-,-1.892,-98.117
Sales/Maturities of investments,-,-,-,-120,103.987
Other investing activites,-,-,-10,750,188.289
Net cash used for investing activites,-118.25,-30.225,521.013,1107,210.55
Debt repayment,-,-,-,-,-2.971
Common stock issued,-,38.25,3705,270.833,1768
Common stock repurchased,-,-6.217,-112.795,-7.125,-60.503
Net cash used privided by (used for) financing activities,-,32.033,3592,263.708,1705
Net change in cash,-1300,-1395,2600,-189.757,1328
Cash at beginning of period,3146,4082,1482,1675,345.497
Cash at end of period,1846,2687,4082,1482,1675
Capital Expenditure,-,-30.225,-,-1.892,-98.117
Free Cash Flow,-1181,-1427,-1513,-1562,-685.851
