Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2084,-1142,-1736,-376.347,-342.815
Acquisitions net,-,-,-11974,-6214,-1454
Purchases of investments,-,-47.414,-,-,-
Other investing activites,11754,-24.584,-183.175,-,-
Net cash used for investing activites,-2268,-1097,-13880,-6590,-1797
Debt repayment,-,-2034,-416.692,-928.208,-
Common stock issued,-,-,16003,8528,-
Common stock repurchased,-,-,-,-569.531,-
Other financing activites,-1662,-1020,-1324,-70.543,-17.669
Net cash used privided by (used for) financing activities,-871.079,1843,14262,6960,1153
Net change in cash,266.207,-4393,4791,335.818,-486.503
Cash at beginning of period,3875,5393,728.165,392.863,859.5
Cash at end of period,4141,1031,5393,728.165,392.863
Capital Expenditure,-2084,-1142,-1736,-376.347,-342.815
Free Cash Flow,1321,-6281,2673,-410.169,-185.26
