Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3971,-4515,-6275,-5849,-1804
Purchases of investments,-,-214.533,-,-,-7.62
Sales/Maturities of investments,-,-,-,12.67,415.538
Other investing activites,-,592.832,-,-,-
Net cash used for investing activites,-1628,-1636,-6257,-5801,-595.918
Debt repayment,-,-,-,-138.704,-659
Common stock issued,-,1077,441.292,6459,2362
Common stock repurchased,-,-38.729,-16.439,-590.281,-49.26
Net cash used privided by (used for) financing activities,-,1038,424.853,5730,1653
Net change in cash,-2788,-5346,7267,1113,990.831
Cash at beginning of period,6284,10297,3030,1917,925.918
Cash at end of period,3497,4951,10297,3030,1917
Capital Expenditure,-3971,-4515,-6275,-5849,-1804
Free Cash Flow,-5095,-9263,6824,-4665,-1870
