Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-3.026,-0.787,-482.039
Other investing activites,-,-,410,50,-296.726
Net cash used for investing activites,-,-,406.974,49.213,-699.641
Debt repayment,-768.2,-55.245,-,-662.281,-
Common stock issued,5400,67.612,1049,1.37,1245
Common stock repurchased,-,-,-,-,-37.698
Other financing activites,-,-,-,-102.277,-
Net cash used privided by (used for) financing activities,4654,442.396,1367,-763.188,1208
Net change in cash,3436,240.184,111.582,-3006,48.925
Cash at beginning of period,167.182,473.855,362.273,17.522,237.09
Cash at end of period,3603,714.039,473.855,362.273,286.015
Capital Expenditure,-,-,-3.026,-0.787,-482.039
Free Cash Flow,-964.016,-202.212,-1665,-2293,-941.012
