Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4027,-1935,-1628,-605,-549
Acquisitions net,-,-101,-,-,-
Net cash used for investing activites,-4278,-2036,-1628,-605,-549
Debt repayment,-2597,-1439,-1448,-3177,-2291
Other financing activites,-,1187,-,-,-
Net cash used privided by (used for) financing activities,2052,821,500,-1060,-301
Net change in cash,-1820,1713,508,-1025,-669
Cash at beginning of period,3324,-1857,-2279,-1290,-604
Cash at end of period,1504,-243,-1857,-2279,-1290
Capital Expenditure,-4027,-1935,-1628,-605,-549
Free Cash Flow,-3621,993,8,35,-368
