Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-25235,-19674,-28488,-15666,-9166
Acquisitions net,-,-,-13546,-37933,-
Purchases of investments,-,-696,-4130,-,-
Net cash used for investing activites,-25418,-20370,-46164,-53599,-9166
Debt repayment,-28000,-19000,-8000,-6868,-15000
Common stock issued,1151,4939,-,-,-
Common stock repurchased,-,-1930,-9692,-,-
Dividends Paid,-49616,-47072,-35041,-31287,-48000
Other financing activites,-,-,64,-5624,-2400
Net cash used privided by (used for) financing activities,-77048,-48367,-21993,1863,-50400
Net change in cash,6064,5968,6377,7075,-15724
Cash at beginning of period,54774,48809,41958,35353,51184
Cash at end of period,60838,56059,48809,41958,35353
Capital Expenditure,-25235,-19674,-28488,-15666,-9166
Free Cash Flow,83295,55031,46046,43145,34676
