Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1912,-2154,-1796
Purchases of investments,-,-416.838,-
Other investing activites,-,819.836,428.652
Net cash used for investing activites,-1911,-1751,-1367
Debt repayment,-,-138.747,-
Common stock issued,3917,2337,8571
Common stock repurchased,-,-126.888,-597.178
Net cash used privided by (used for) financing activities,3473,2172,7973
Net change in cash,-1004,-2756,3752
Cash at beginning of period,2228,4713,1012
Cash at end of period,1224,1957,4763
Capital Expenditure,-1912,-2154,-1796
Free Cash Flow,-4478,-5332,-4651
