Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-912.781,-789.93,-768.732,-4701,-4957
Acquisitions net,-,-,-5667,-7099,-8864
Purchases of investments,-,-,-,-,-1750
Net cash used for investing activites,-912.781,-489.93,-6436,-11800,-15571
Debt repayment,-643.024,-2168,-1343,-,-
Common stock issued,-,1814,1824,-,12029
Common stock repurchased,-,-44,-,-,-
Other financing activites,-,-391.643,-,-,-
Net cash used privided by (used for) financing activities,612.694,329.833,2414,367.715,17656
Net change in cash,91.343,-2128,-5737,-8884,8417
Cash at beginning of period,1121,3334,9072,17956,9539
Cash at end of period,1212,1207,3334,9072,17956
Capital Expenditure,-912.781,-789.93,-768.732,-4701,-4957
Free Cash Flow,-521.351,-2757,-2485,-2153,1375
