Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-84.527,-5.691
Purchases of investments,-,-,-,-43.949,-
Other investing activites,-,-,-,-,817.978
Net cash used for investing activites,-,-,-,-128.476,812.287
Debt repayment,-,-,-343.639,-60,-
Common stock issued,1317,1242,910.353,110.206,3012
Common stock repurchased,-101.522,-122.795,-94.678,-700.382,-48.328
Other financing activites,-56.136,-16.81,-16.809,-6.282,-
Net cash used privided by (used for) financing activities,1159,1102,798.866,-656.458,2964
Net change in cash,-382.694,-14.456,-46.147,-2843,3036
Cash at beginning of period,446.231,146.93,193.077,3036,-
Cash at end of period,63.537,132.474,146.93,193.077,3036
Capital Expenditure,-,-,-,-84.527,-5.691
Free Cash Flow,-1542,-1117,-845.013,-2142,-746.074
