Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-859.565,-2335,-3505,-3044,-3167
Sales/Maturities of investments,-,422.58,-,-,-
Other investing activites,-,25.219,-,-,-
Net cash used for investing activites,-777.743,-1887,-3505,-3044,-3167
Common stock issued,-,-,6289,1074,4900
Common stock repurchased,-,-,-310.726,-90.745,-201.25
Net cash used privided by (used for) financing activities,-,-,5978,983.226,6699
Net change in cash,-816.598,-1511,1597,-2013,3358
Cash at beginning of period,1936,3514,1917,3930,571.981
Cash at end of period,1119,2003,3514,1917,3930
Capital Expenditure,-859.565,-2335,-3505,-3044,-3167
Free Cash Flow,-898.42,-1959,-4382,-2996,-3341
