Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-813,-813,-284,-280
Net cash used for investing activites,-501,-501,9,110
Debt repayment,-,-,-3,-51
Common stock issued,-,-,-,1967
Common stock repurchased,-,-,-223,-137
Dividends Paid,-1041,-1041,-1729,-1465
Other financing activites,-738,-738,-49,-269
Net cash used privided by (used for) financing activities,-1779,-1779,-2004,45
Net change in cash,-3590,-3590,-2945,1762
Cash at beginning of period,9953,9953,12893,11119
Cash at end of period,6219,6219,9953,12893
Capital Expenditure,-813,-813,-284,-280
Free Cash Flow,-2123,-2123,-1234,1327
