Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-,-5,-44
Acquisitions net,-250,-250,-,-60,-970
Purchases of investments,-,-,-20,-59,-34
Other investing activites,66,66,56,-60,849
Net cash used for investing activites,88,88,2415,-124,-199
Debt repayment,-4093,-4093,-8452,-7337,-389
Common stock issued,782,782,6346,2955,2461
Common stock repurchased,-17,-17,-213,-33,-388
Other financing activites,-,-,-1023,-1043,-777
Net cash used privided by (used for) financing activities,2320,2320,2283,5003,4650
Net change in cash,-228,-228,-356,-131,-458
Cash at beginning of period,155,155,511,642,1100
Cash at end of period,-73,-73,155,511,642
Capital Expenditure,-,-,-,-5,-44
Free Cash Flow,-2636,-2636,-5054,-5015,-4953
