Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1285,-1134,-119.805,-,-
Acquisitions net,-,-,3.947,-,-
Other investing activites,-,-839.39,-,-,-
Net cash used for investing activites,-2028,-1974,-115.858,565.338,-
Debt repayment,-,-,-,-,-19.883
Common stock issued,-,-,4500,842.198,-
Common stock repurchased,-,-5.537,-300.905,-,-
Net cash used privided by (used for) financing activities,2129,-5.537,4199,842.198,1934
Net change in cash,-1066,-2774,3905,843.893,-451.747
Cash at beginning of period,3123,4988,1083,8.675,690.654
Cash at end of period,2057,2214,4988,1083,239.016
Capital Expenditure,-1285,-1134,-119.805,-,-
Free Cash Flow,-2452,-1929,-298.171,-563.643,-2386
