Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-0.894,-1.829,-32.321
Acquisitions net,-,-,-,-,-51.748
Net cash used for investing activites,-144.678,59.189,-0.894,-1.829,-84.069
Debt repayment,-,-100,-300,-,-
Common stock issued,1228,1333,1661,997.1,634.739
Net cash used privided by (used for) financing activities,1225,1229,1756,997.1,634.739
Net change in cash,-321.785,353.785,-53.397,38.051,25.609
Cash at beginning of period,913.627,322.994,541.656,542.591,534.674
Cash at end of period,591.842,691.153,322.994,541.656,542.591
Capital Expenditure,-,-,-0.894,-1.829,-32.321
Free Cash Flow,-1550,-934.585,-1809,-959.049,-557.382
