Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-7.11,-94.831,-88.348
Purchases of investments,-,-250,-7552
Sales/Maturities of investments,-,6052,1500
Net cash used for investing activites,-257.11,5708,-6141
Common stock issued,-,-,12665
Common stock repurchased,-,-,-1555
Net cash used privided by (used for) financing activities,-,-,11360
Net change in cash,-1909,429.067,179.371
Cash at beginning of period,4936,1576,1397
Cash at end of period,3027,2005,1576
Capital Expenditure,-7.11,-94.831,-88.348
Free Cash Flow,-4587,-5373,-5128
