Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2301,-3233,-1644,-,-
Acquisitions net,-,-4985,-99,-,-
Sales/Maturities of investments,-,-,147,-,-
Other investing activites,-,-51,-2586,-,-
Net cash used for investing activites,-2673,-8269,-4029,-,-
Debt repayment,-,-,-2895,-,-
Common stock issued,4711,10445,9343,-,-
Dividends Paid,-,-,-1000,-,-
Net cash used privided by (used for) financing activities,4711,10445,5448,-,-
Net change in cash,-2074,2446,2261,-241.184,-642.168
Cash at beginning of period,6670,3619,1358,349.518,991.686
Cash at end of period,4596,6025,3619,108.334,349.518
Capital Expenditure,-2301,-3233,-1644,-,-
Free Cash Flow,-6413,-2963,-802,-241.184,-642.168
