Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-793.744,-751.361,-266.765,-,-
Net cash used for investing activites,-793.744,-751.361,-266.765,-,-
Debt repayment,-,-,-26.339,-,-
Common stock issued,-,-,5637,-,-
Common stock repurchased,-,-,-364.343,-,-
Net cash used privided by (used for) financing activities,-,-,5246,355,27.5
Net change in cash,-1150,-1389,3387,30.674,-
Cash at beginning of period,2758,3419,30.674,-,-
Cash at end of period,1607,2023,3419,30.674,-
Capital Expenditure,-793.744,-751.361,-266.765,-,-
Free Cash Flow,-1550,-1389,-1860,-324.326,-27.5
