Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2178000,2178000,1836000,4119000,2741000
Depreciation & amortization,2195000,2195000,1035000,917000,884000
Stock based compensation,1000,1000,1000,1000,3000
Change in working capital,-1420000,-1420000,-657000,-396000,-211000
Inventory,109000,109000,-463000,-136000,-123000
Other working capital,3558000,3558000,2645000,2525000,2369000
Other non-cash items,6000,6000,-25000,13000,-87000
Net cash provided by operating activites,4963000,4963000,4002000,3750000,3415000
Investments in property plant and equipment,-1405000,-1405000,-1357000,-1225000,-1046000
Acquisitions net,-1116000,-1116000,-2576000,-1676000,-664000
Purchases of investments,-409000,-409000,-706000,-1609000,-293000
Sales/Maturities of investments,450000,450000,235000,767000,122000
Other investing activites,-44000,-44000,-45000,-50000,-56000
Net cash used for investing activites,-2730000,-2730000,-4579000,-4142000,-2110000
Net change in cash,944000,944000,-573000,129000,598000
Cash at beginning of period,4555000,4555000,5298000,5091000,4568000
Cash at end of period,5583000,5583000,4555000,5298000,5091000
Operating Cash Flow,4963000,4963000,4002000,3750000,3415000
Capital Expenditure,-1405000,-1405000,-1357000,-1225000,-1046000
Free Cash Flow,3558000,3558000,2645000,2525000,2369000
