Breakdown,ttm,5/31/2019,5/31/2018,5/31/2017,5/31/2016
Net Income,120268,55633,81485,187221,9005
Change in working capital,-,-6815,14482,-5651,-7864
Other working capital,-166,-7774,7786,2578,-6180
Net cash provided by operating activites,-,-7774,7786,2578,-6180
Purchases of investments,-147408,-170661,-135755,-231190,-175142
Sales/Maturities of investments,126765,164058,152275,270215,77033
Net cash used for investing activites,-20643,-6603,16520,39025,-98109
Net change in cash,-2492,-723,-37403,49296,515
Cash at beginning of period,7368,17255,55343,6091,5669
Cash at end of period,4876,16526,17255,55343,6091
Operating Cash Flow,-,-7774,7786,2578,-6180
Free Cash Flow,-166,-7774,7786,2578,-6180
