Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-2747,-,-0.655,-
Other investing activites,-,-5,-,-,-
Net cash used for investing activites,-,-2752,-,-0.655,-
Common stock issued,200,2869,-,-,-
Common stock repurchased,-11.875,-195.457,-12.031,-13.878,-0.342
Net cash used privided by (used for) financing activities,1912,5251,-12.031,986.122,999.658
Net change in cash,-693.033,-40.315,-1008,227.545,-293.062
Cash at beginning of period,1553,494.36,1502,1275,1568
Cash at end of period,859.566,454.045,494.36,1502,1275
Capital Expenditure,-,-2747,-,-0.655,-
Free Cash Flow,-2600,-5286,-996.003,-758.577,-1293
