Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-,-1.1438,-0.5064,-17.6334
Other investing activites,-,-139.1476,-,-
Net cash used for investing activites,-,-139.2881,0.4358,43.6805
Debt repayment,-,-28312,-,-
Common stock issued,-,5331,6261,-
Other financing activites,-11834,-4640,4469,7.1926
Net cash used privided by (used for) financing activities,-24957,-17026,10730,7.1926
Net change in cash,140.9226,-20.5235,-4043,-4655
Cash at beginning of period,455.2963,968.2442,4966,9437
Cash at end of period,596.2189,948.2369,925.5686,4671
Capital Expenditure,-,-1.1438,-0.5064,-17.6334
Free Cash Flow,25472,17143,-14773,-4724
