Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1970,-1640,-804,-745,-481
Purchases of investments,-,-,-,-275,-
Net cash used for investing activites,-1946,-1616,-794,-1010,-434
Common stock repurchased,-,-3,-2,-5,-5
Dividends Paid,-2467,-1787,-889,-1995,-1405
Net cash used privided by (used for) financing activities,-2868,-1790,-891,-2000,-1410
Net change in cash,5715,-1993,3425,-3394,5588
Cash at beginning of period,2608,5119,1694,5088,-500
Cash at end of period,8323,3126,5119,1694,5088
Capital Expenditure,-1970,-1640,-804,-745,-481
Free Cash Flow,8559,-227,4306,-1129,6951
