Breakdown,ttm,3/31/2019
Investments in property plant and equipment,-2215,-522.53
Other investing activites,-1463,-2288
Net cash used for investing activites,-11712,-2811
Debt repayment,-3415,-439.209
Common stock issued,18000,15000
Common stock repurchased,-1101,-1324
Net cash used privided by (used for) financing activities,13329,13631
Net change in cash,-1810,8658
Cash at beginning of period,11936,1129
Cash at end of period,10126,9768
Capital Expenditure,-2215,-522.53
Free Cash Flow,-5643,-2685
