Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-1014,-1044,-816.441,-759.311
Purchases of investments,-,-,-1.675,-
Sales/Maturities of investments,-,-,70.026,127.021
Other investing activites,89.808,101.893,38.774,59.071
Net cash used for investing activites,-950.206,-942.407,-667.043,-573.219
Other financing activites,-,-,-,-99.545
Net cash used privided by (used for) financing activities,-,-,-,-99.545
Net change in cash,-1775,-1712,-1567,-1627
Cash at beginning of period,2364,3152,4719,6346
Cash at end of period,589.445,1440,3152,4719
Capital Expenditure,-1014,-1044,-816.441,-759.311
Free Cash Flow,-1838,-1814,-1716,-1713
