Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-3,-50,-11,-34
Purchases of investments,-,-331,-1827,-75,-366
Net cash used for investing activites,-,-334,-1877,-86,-400
Debt repayment,-,-,-,-110000,-
Dividends Paid,-40916,-40916,-40328,-39644,-35918
Other financing activites,-,-,-53,-8116,-
Net cash used privided by (used for) financing activities,-40975,-40916,-40381,-7760,-35918
Net change in cash,-12033,-12903,-13571,21666,-6893
Cash at beginning of period,37797,46014,59585,37919,44812
Cash at end of period,25764,33111,46014,59585,37919
Capital Expenditure,-,-3,-50,-11,-34
Free Cash Flow,28942,28344,28637,29501,29391
