Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1834000,1834000,1827000,1891000,1258000
Change in working capital,40252000,40252000,-25128000,27729000,57687000
Other working capital,-3374000,-3374000,-762000,4181000,5891000
Other non-cash items,439000,439000,476000,374000,153000
Net cash provided by operating activites,-3285000,-3285000,-361000,4411000,5936000
Investments in property plant and equipment,-89000,-89000,-401000,-230000,-45000
Acquisitions net,-,-,-130000,-70000,-335000
Other investing activites,-,-,-,-,0
Net cash used for investing activites,138000,138000,-205000,-14000,-380000
Net change in cash,-3839000,-3839000,-847000,3912000,4608000
Cash at beginning of period,18088000,18088000,18919000,15348000,21066000
Cash at end of period,13923000,13923000,17321000,18919000,25717000
Operating Cash Flow,-3285000,-3285000,-361000,4411000,5936000
Capital Expenditure,-89000,-89000,-401000,-230000,-45000
Free Cash Flow,-3374000,-3374000,-762000,4181000,5891000
