Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-3260,-2761,-1530,-768.823,-1044
Purchases of investments,-64799,-60616,-2430,-11998,-1155
Sales/Maturities of investments,-,-,-,-,5000
Net cash used for investing activites,-68058,-63377,-3960,-12767,2801
Debt repayment,-,-,-9000,-18500,-13712
Common stock issued,-,-,604.44,96.36,795
Common stock repurchased,-,-782.699,-1069,-,-
Dividends Paid,-5748,-5227,-4182,-3127,-6004
Net cash used privided by (used for) financing activities,54150,53990,-11647,-2031,4190
Net change in cash,-4401,-3603,4944,2847,-7206
Cash at beginning of period,7671,8585,3641,793.553,7999
Cash at end of period,3270,4982,8585,3641,793.553
Capital Expenditure,-3260,-2761,-1530,-768.823,-1044
Free Cash Flow,6248,3022,19021,16876,-15240
