Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1377,-4388,-2372,-3444,-605.65
Acquisitions net,-,-,68.271,-,-
Purchases of investments,-798.405,-442.413,-219.288,-246.737,-104.64
Sales/Maturities of investments,691.509,655.902,7267,12.527,-
Net cash used for investing activites,-1346,-4175,4744,-3678,-710.29
Debt repayment,-,-5000,-,-,-
Common stock issued,-,-,7530,4721,8402
Common stock repurchased,-,-,-,-26.636,-235.422
Other financing activites,-,-608.549,-595,-,-
Net cash used privided by (used for) financing activities,-,-5598,14330,4694,8167
Net change in cash,-5363,-15733,15777,-3170,4904
Cash at beginning of period,10918,18340,2587,5757,852.685
Cash at end of period,5555,2706,18340,2587,5757
Capital Expenditure,-1377,-4388,-2372,-3444,-605.65
Free Cash Flow,-5317,-10348,-5669,-7630,-3158
