Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2925000,2925000,4302000,3807000,2063000
Depreciation & amortization,2660000,2660000,2405000,2370000,2380000
Change in working capital,5021000,5021000,-18210000,-10623000,-833000
Other working capital,7839000,7839000,-14621000,-6850000,-1686000
Other non-cash items,1469000,1469000,2225000,1749000,-1422000
Net cash provided by operating activites,11281000,11281000,-11107000,-3195000,2074000
Investments in property plant and equipment,-3442000,-3442000,-3514000,-3655000,-3760000
Acquisitions net,-21000,-21000,-49000,-1923000,-20000
Purchases of investments,-9730000,-9730000,-12657000,-7862000,-4930000
Sales/Maturities of investments,9631000,9631000,26806000,18675000,6335000
Net cash used for investing activites,-2130000,-2130000,11921000,6808000,-686000
Net change in cash,2587000,2587000,-3484000,-1406000,-9565000
Cash at beginning of period,55224000,55224000,58708000,62388000,71953000
Cash at end of period,57811000,57811000,55224000,60982000,62388000
Operating Cash Flow,11281000,11281000,-11107000,-3195000,2074000
Capital Expenditure,-3442000,-3442000,-3514000,-3655000,-3760000
Free Cash Flow,7839000,7839000,-14621000,-6850000,-1686000
