Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-24190,-24190,-15345,-8800,-9282
Acquisitions net,-,-,-,-,-250
Net cash used for investing activites,-24135,-24135,-15278,-8800,-9511
Common stock issued,1265,1265,-,-,-
Dividends Paid,-33781,-33781,-21632,-12600,-11277
Other financing activites,-,-,-,-12000,-
Net cash used privided by (used for) financing activities,-32516,-32516,-21632,-24600,-11277
Net change in cash,-10423,-10423,9881,6232,2550
Cash at beginning of period,21057,21057,11039,4729,2343
Cash at end of period,11192,11192,21057,11039,4729
Capital Expenditure,-24190,-24190,-15345,-8800,-9282
Free Cash Flow,22038,22038,31446,30832,14056
