Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-840.805,-840.805,-1523,-2636,-1788
Purchases of investments,-,-,-13.59,-,-200
Sales/Maturities of investments,-,-,237.36,208.372,0.603
Other investing activites,-,-,-,2.629,-
Net cash used for investing activites,-840.805,-840.805,-1299,-2425,-1970
Debt repayment,-31.2,-31.2,-66.62,-435,-595.793
Common stock issued,1523,1523,-,4850,4830
Common stock repurchased,-170.691,-170.691,-23.775,-354.411,-295.756
Other financing activites,-,-,-91,-,-
Net cash used privided by (used for) financing activities,2091,2091,2419,4060,3939
Net change in cash,528.518,528.518,-849.343,-339.066,1306
Cash at beginning of period,204.764,204.764,995.492,1339,32.076
Cash at end of period,733.282,733.282,204.764,995.492,1339
Capital Expenditure,-840.805,-840.805,-1523,-2636,-1788
Free Cash Flow,-1563,-1563,-3492,-4610,-2451
