Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Net Income,110000,143000,104000,63000,89000
Depreciation & amortization,120000,119000,119000,115000,113000
Stock based compensation,4000,3000,3000,2000,2000
Change in working capital,3000,9000,2000,-14000,-11000
Inventory,0,0,-1000,1000,-1000
Other working capital,94000,114000,69000,57000,55000
Other non-cash items,55000,20000,48000,106000,87000
Net cash provided by operating activites,251000,266000,240000,226000,222000
Investments in property plant and equipment,-157000,-152000,-171000,-169000,-167000
Acquisitions net,-5000,0,-5000,-,0
Sales/Maturities of investments,-,-,-,-,0
Other investing activites,120000,120000,-,-,0
Net cash used for investing activites,-160000,-18000,-171000,-123000,-162000
Net change in cash,7000,11000,-25000,-11000,-7000
Cash at beginning of period,138000,122000,147000,158000,163000
Cash at end of period,145000,133000,122000,147000,158000
Operating Cash Flow,251000,266000,240000,226000,222000
Capital Expenditure,-157000,-152000,-171000,-169000,-167000
Free Cash Flow,94000,114000,69000,57000,55000
