Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1005,-826.872,-2143,-8.232,-3265
Sales/Maturities of investments,78.871,44.125,283.377,-,-
Other investing activites,-,-500,-,-,-
Net cash used for investing activites,-1426,236.26,-1809,-8.232,-3265
Debt repayment,-,-,-,-,-500
Common stock issued,-,157.6,3913,330,3438
Common stock repurchased,-,-,-278.995,-,-174.824
Other financing activites,-,2522,-,-,7053
Net cash used privided by (used for) financing activities,1185,2679,3634,330,9816
Net change in cash,-1842,-1151,9.089,-3037,4598
Cash at beginning of period,2162,1866,1823,4924,442.799
Cash at end of period,320.134,666.56,1866,1823,4924
Capital Expenditure,-1005,-826.872,-2143,-8.232,-3265
Free Cash Flow,-2606,-4893,-3958,-3367,-5218
