Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-3848,-993,-3441,-1534
Other investing activites,-6014,-12858,-13269,-
Net cash used for investing activites,-9586,-13404,-15785,-652
Debt repayment,-,-2452,-,-
Dividends Paid,-,-,-,7
Net cash used privided by (used for) financing activities,6790,12084,65,7
Net change in cash,-2945,-2521,-16680,-1485
Cash at beginning of period,5577,7179,24004,25469
Cash at end of period,2632,5410,7179,24004
Capital Expenditure,-3848,-993,-3441,-1534
Free Cash Flow,-3997,-2194,-4401,-2374
