Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-72771,-83321,-93128,-59745,-100293
Sales/Maturities of investments,111734,116237,95373,95081,91400
Other investing activites,-9776,-1393,-6030,-6099,-8755
Net cash used for investing activites,29187,31523,-3785,29237,-17648
Common stock issued,-,-,-,-,26104
Common stock repurchased,-,-,-16,-16,-83
Dividends Paid,-26534,-29199,-18106,-19168,-19698
Other financing activites,-,-22,-16,-,-
Net cash used privided by (used for) financing activities,-26555,-29221,-18122,-19184,6323
Net change in cash,7925,2313,-7531,14682,-4435
Cash at beginning of period,10675,28140,35671,20989,25424
Cash at end of period,18600,30453,28140,35671,20989
Free Cash Flow,5293,11,14376,4629,6890
