Breakdown,ttm,12/31/2019,12/31/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4730,-4730,-13467,-2843,-1036
Purchases of investments,-,-,-,132.219,-
Other investing activites,2745,2745,1209,-,-
Net cash used for investing activites,-1982,-1982,-10955,-2710,-1036
Common stock issued,4263,4263,6688,2779,9084
Common stock repurchased,-276.642,-276.642,-122.565,-1.75,-416.827
Net cash used privided by (used for) financing activities,3986,3986,6566,2777,8667
Net change in cash,-1311,-1311,-7279,-2650,7609
Cash at beginning of period,5124,5124,12518,8684,1081
Cash at end of period,3793,3793,5242,6040,8684
Capital Expenditure,-4730,-4730,-13467,-2843,-1036
Free Cash Flow,-8046,-8046,-16357,-5560,-1059
