Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-19381,-19381,-14176,-8241,-7864
Acquisitions net,-,-,-,-8919,-39000
Other investing activites,-3440,-3440,-868,-1220,-1356
Net cash used for investing activites,-22821,-22821,-15044,-18380,-48220
Debt repayment,-159244,-159244,-141408,-58042,-111343
Common stock issued,-,-,4527,-,5358
Common stock repurchased,-,-,-2855,-10184,-
Dividends Paid,-61173,-61173,-56217,-54076,-46589
Other financing activites,125,125,-,-,-
Net cash used privided by (used for) financing activities,-72014,-72014,-62722,-64270,-36398
Net change in cash,38053,38053,39894,-35586,10354
Cash at beginning of period,99667,99667,59416,95583,85729
Cash at end of period,137762,137762,99667,59416,95583
Capital Expenditure,-19381,-19381,-14176,-8241,-7864
Free Cash Flow,113507,113507,103484,38823,87108
