Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-485.622,-620.617,-1030,-636.898,-565.293
Sales/Maturities of investments,-,50,-,-,261.027
Other investing activites,-,-,1.045,38.326,54.104
Net cash used for investing activites,-585.622,-570.617,-1029,-598.572,-106.412
Common stock issued,343.368,1110,1720,1354,692.3
Common stock repurchased,-30.955,-186.958,-198.351,-93.246,-53.349
Net cash used privided by (used for) financing activities,312.413,923.276,1522,1260,638.951
Net change in cash,-897.986,-232.555,45.715,189.757,84.885
Cash at beginning of period,1253,863.77,818.055,628.298,543.413
Cash at end of period,355.377,631.215,863.77,818.055,628.298
Capital Expenditure,-485.622,-620.617,-1030,-636.898,-565.293
Free Cash Flow,-1110,-1206,-1477,-1109,-1013
