Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-8049,-8049,-9798,-5312,-2471
Net cash used for investing activites,-2164,-2164,-9480,-4309,-1994
Debt repayment,-3000,-3000,-6250,-3701,-4363
Common stock issued,-,-,5670,-,-
Dividends Paid,-,-,-,-,-911
Other financing activites,-153,-153,-49,-45,-
Net cash used privided by (used for) financing activities,-3153,-3153,-629,-3746,-5274
Net change in cash,16943,16943,247,-2603,-6887
Cash at beginning of period,-520,-520,-767,1836,8723
Cash at end of period,16423,16423,-520,-767,1836
Capital Expenditure,-8049,-8049,-9798,-5312,-2471
Free Cash Flow,14211,14211,558,140,-2090
