Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-983.1181,-983.1181,-222.0079,-367.9747,-465.5666
Acquisitions net,-,-,-,-5232,-
Sales/Maturities of investments,-,-,-,-,-1735
Other investing activites,6875,6875,4696,-9126,-
Net cash used for investing activites,5891,5891,4474,-13055,-2200
Debt repayment,-21886,-21886,-44008,-28458,-2723
Common stock issued,-,-,-,-,8302
Common stock repurchased,-,-,-,-,-17.0733
Other financing activites,4649,4649,2880,-,-
Net cash used privided by (used for) financing activities,-5983,-5983,-7386,26556,11487
Net change in cash,7308,7308,3001,-181.8072,575.004
Cash at beginning of period,11659,11659,8762,8657,8136
Cash at end of period,19053,19053,11738,8366,8753
Capital Expenditure,-983.1181,-983.1181,-222.0079,-367.9747,-465.5666
Free Cash Flow,6417,6417,5691,-14051,-9177
