Breakdown,ttm,7/31/2019,7/31/2018,7/31/2017,7/31/2016
Investments in property plant and equipment,-200838,-174638,-69539,-151246,-141978
Acquisitions net,-,-,-,-,2665
Purchases of investments,-,-1440,-778859,-,-
Other investing activites,-,-107672,-123260,-,-
Net cash used for investing activites,-199981,-173980,-965574,-100758,-138210
Debt repayment,-1512783,-1340229,-1458764,-1153379,-1138232
Common stock repurchased,-,296008,436454,-,-
Dividends Paid,-17582,-34086,-50220,-45249,-40375
Other financing activites,-,-2288,-16911,-747,-2876
Net cash used privided by (used for) financing activities,-112403,269994,1112430,-5479,-89649
Net change in cash,-40404,194145,58687,-50794,-90484
Cash at beginning of period,338480,294343,223761,281444,390136
Cash at end of period,298076,505687,294343,223761,281444
Capital Expenditure,-200838,-174638,-69539,-151246,-141978
Free Cash Flow,71142,-76507,-157708,-95803,-4603
