Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-6804,-6804,-10292,-3516
Net cash used for investing activites,-6804,-6804,-10292,-3516
Common stock issued,10651,10651,12591,16584
Common stock repurchased,-367.9361,-367.9361,-419.2788,-1541
Other financing activites,-,-,-,1013
Net cash used privided by (used for) financing activities,10283,10283,12171,16056
Net change in cash,432.8718,432.8718,-757.0473,9581
Cash at beginning of period,9084,9084,10532,136.2487
Cash at end of period,9359,9359,9017,9530
Capital Expenditure,-6804,-6804,-10292,-3516
Free Cash Flow,-9851,-9851,-12928,-6475
