Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-10.568,-15.022,-,-17.763
Purchases of investments,-,-15,-0.726,-70.579,-15
Net cash used for investing activites,-,-25.568,-15.748,-70.579,-32.763
Debt repayment,-,-,-,-24.402,-
Common stock issued,-,1691,319.2,2403,-
Common stock repurchased,-,-98.06,-3.614,-156.628,-
Net cash used privided by (used for) financing activities,-,1593,315.586,2221,-
Net change in cash,-194.615,-623.597,-1571,369.255,-1160
Cash at beginning of period,3178,3914,5486,5116,6252
Cash at end of period,2984,3291,3914,5486,5092
Capital Expenditure,-,-10.568,-15.022,-,-17.763
Free Cash Flow,-1761,-2202,-1886,-1782,-1145
