Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-377.867,-497.099,-46.274,-,-
Other investing activites,-,-,-2.75,-,-
Net cash used for investing activites,-377.867,-497.099,-49.024,-,-
Debt repayment,-,-,-150,-,-
Common stock issued,-,16.439,7200,-,-
Common stock repurchased,-,-,-665.871,-,-
Other financing activites,-265.525,-2000,-1400,-,-
Net cash used privided by (used for) financing activities,-249.086,-1984,5285,579.226,-
Net change in cash,-1267,-3294,4424,345.509,8.303
Cash at beginning of period,2767,4824,400.043,54.534,46.031
Cash at end of period,1500,1530,4824,400.043,54.334
Capital Expenditure,-377.867,-497.099,-46.274,-,-
Free Cash Flow,-1018,-1310,-858.408,-233.717,8.303
