Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6260,-10505,-15376,-4720,-277.487
Other investing activites,-,-72,-134,592.283,816.001
Net cash used for investing activites,-6269,-8077,-15510,-4128,538.514
Debt repayment,-1059,-6356,-2470,-450,-100
Common stock issued,17525,19234,17331,7454,1901
Common stock repurchased,-355,-425,-371,-79.641,-33.347
Other financing activites,-,-858,-,-,-
Net cash used privided by (used for) financing activities,19111,15453,23491,13424,2248
Net change in cash,3273,-3329,1414,2754,533.469
Cash at beginning of period,2034,4811,3412,651.748,118.279
Cash at end of period,5307,1395,4811,3405,651.748
Capital Expenditure,-6260,-10505,-15376,-4720,-277.487
Free Cash Flow,-15829,-21210,-21943,-11263,-2530
