Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1158374,-1158374,-1145976,-339726,-311350
Other investing activites,-2498,-2498,-3070,-3000,-9619
Net cash used for investing activites,-1160872,-1160872,-1149046,-342726,-320969
Debt repayment,-1518984,-1518984,-470248,-402459,-399744
Common stock repurchased,-,-,-11673,-,-6526
Dividends Paid,-293671,-293671,-161906,-126941,-105217
Other financing activites,-33437,-33437,-5541,-13879,-666.1139
Net cash used privided by (used for) financing activities,-204642,-204642,-649368,-543279,-512153
Net change in cash,-291643,-291643,-587545,195510,-65963
Cash at beginning of period,857204,857204,1438433,1106087,1258263
Cash at end of period,565561,565561,850888,1301597,1192300
Capital Expenditure,-1158374,-1158374,-1145976,-339726,-311350
Free Cash Flow,-84503,-84503,64894,741790,455808
