Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-23786,23594,-23419,-14353,-33403
Sales/Maturities of investments,26703,-18962,25144,25161,22405
Net cash used for investing activites,2918,4633,1726,10808,-10998
Common stock issued,-,-,-,-,37
Dividends Paid,-2182,-1658,-2293,-1798,-
Net cash used privided by (used for) financing activities,-2182,-1658,-2293,-1798,37
Net change in cash,-1795,1114,-1054,8527,-13216
Cash at beginning of period,6068,6597,7687,-706.875,12586
Cash at end of period,4273,7872,6597,7687,-706.875
Free Cash Flow,-2530,-1860,-485.866,-482.533,-2255
