Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1.4,-118.326,-341.27,-138,-4.34
Purchases of investments,-,-,-,-,-14.855
Other investing activites,-,-,48.395,-4.954,25.348
Net cash used for investing activites,-1.4,-118.326,-292.875,-138,6.153
Debt repayment,-,-,-,-,-551.226
Common stock issued,-,585.452,920.587,1550,2053
Common stock repurchased,-,-18.52,-,-,-
Other financing activites,-,-,-,-607.037,-
Net cash used privided by (used for) financing activities,417.915,566.932,920.587,2943,1720
Net change in cash,-119.193,-158.647,-221.274,607.512,270.468
Cash at beginning of period,337.385,662.362,883.636,276.124,0.083
Cash at end of period,218.192,503.715,662.362,883.636,276.124
Capital Expenditure,-1.4,-118.326,-341.27,-138,-4.34
Free Cash Flow,-537.108,-725.579,-1190,-2335,-1460
