Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-20.213,-14.501,-5.872,-,-25.569
Net cash used for investing activites,-20.213,-14.501,-5.872,18.277,224.431
Debt repayment,-,-,-225,-617.951,-250
Common stock issued,7771,4215,-,-,1459
Common stock repurchased,-,-168.774,4120,4732,-106.029
Other financing activites,-,-,-,-,1102
Net cash used privided by (used for) financing activities,7547,4046,3895,4115,2205
Net change in cash,3557,956.327,976.096,2555,-14.314
Cash at beginning of period,2330,3606,2630,75.079,111.749
Cash at end of period,5887,4562,3606,2630,80.177
Capital Expenditure,-20.213,-14.501,-5.872,-,-25.569
Free Cash Flow,-3990,-3089,-2919,-1578,-2469
