Breakdown,ttm,12/31/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-618.206,-618.206,-663.071,-1040,-17.274
Net cash used for investing activites,-618.206,-618.206,-663.071,-1040,-17.274
Debt repayment,-,-,-1500,-1500,-2804
Common stock issued,3518,3518,8160,2436,4779
Common stock repurchased,-31.307,-31.307,1773,-,-72.72
Other financing activites,-347.891,-347.891,-184.938,-,-
Net cash used privided by (used for) financing activities,3138,3138,8248,3936,3227
Net change in cash,10085,10085,2958,-61.683,1113
Cash at beginning of period,4878,4878,1234,1307,107.367
Cash at end of period,14959,14959,4324,1234,1307
Capital Expenditure,-618.206,-618.206,-663.071,-1040,-17.274
Free Cash Flow,6946,6946,-5289,-3998,-2114
