Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-7944,3834,5009,8127
Change in working capital,1118,-850,-1537,2393
Other working capital,-1125,-3536,-4889,-1314
Net cash provided by operating activites,-1125,-3536,-4889,-1314
Purchases of investments,-22494,-9900,-8808,-9166
Sales/Maturities of investments,5817,14741,24736,14540
Net cash used for investing activites,-16677,4841,15928,5374
Net change in cash,2609,-7682,-2388,36340
Cash at beginning of period,42151,44062,46450,10110
Cash at end of period,44760,36380,44062,46450
Operating Cash Flow,-1125,-3536,-4889,-1314
Free Cash Flow,-1125,-3536,-4889,-1314
