Breakdown,ttm,5/31/2019,5/31/2018,6/30/2016
Net Income,67393,192324,122777,209072
Change in working capital,-1,3152,-2927,501
Other working capital,-11792,-5648,-17312,-3328
Other non-cash items,-436,-2271,-2429,-1985
Net cash provided by operating activites,-11792,-5648,-17312,-3328
Purchases of investments,-205745,-285326,-254426,-263203
Sales/Maturities of investments,284303,313330,351335,244540
Other investing activites,-,-,-,0
Net cash used for investing activites,78558,28004,96909,-18663
Net change in cash,34535,-26339,-2678,-45005
Cash at beginning of period,113882,162292,167252,137483
Cash at end of period,148417,142773,162292,115522
Operating Cash Flow,-11792,-5648,-17312,-3328
Free Cash Flow,-11792,-5648,-17312,-3328
