Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-549.849,-332.253,-72.528,-8.322,-
Net cash used for investing activites,-549.849,-332.253,-72.528,-8.322,100
Common stock issued,-,30.197,315.023,-,343.068
Common stock repurchased,-,-,-16.957,-,-62.777
Net cash used privided by (used for) financing activities,901.985,295.197,298.066,-,280.291
Net change in cash,116.828,-161.238,78.72,-158.45,217.919
Cash at beginning of period,22.162,191.419,112.685,271.158,52.985
Cash at end of period,138.99,30.193,191.419,112.685,271.158
Capital Expenditure,-549.849,-332.253,-72.528,-8.322,-
Free Cash Flow,-785.157,-456.435,-219.346,-158.45,-162.372
